freq_Hz,woofer_mag_dB,woofer_phase_deg,mid_mag_dB,mid_phase_deg,tweeter_mag_dB,tweeter_phase_deg,sum_mag_dB,sum_phase_deg
54.834,-0.1537,-61.6509,-35.1171,111.2356,-108.6289,172.8865,-0.3090,-61.5220
55.164,-0.1574,-62.0482,-34.9123,110.7954,-108.4204,172.8436,-0.3165,-61.9154
55.496,-0.1612,-62.4483,-34.7076,110.3521,-108.2119,172.8005,-0.3242,-62.3114
55.830,-0.1651,-62.8513,-34.5030,109.9058,-108.0034,172.7571,-0.3321,-62.7102
56.166,-0.1691,-63.2571,-34.2985,109.4563,-107.7949,172.7134,-0.3401,-63.1116
56.504,-0.1732,-63.6657,-34.0940,109.0038,-107.5864,172.6695,-0.3484,-63.5157
56.844,-0.1773,-64.0772,-33.8897,108.5481,-107.3779,172.6253,-0.3568,-63.9226
57.186,-0.1816,-64.4917,-33.6855,108.0892,-107.1694,172.5809,-0.3655,-64.3322
57.531,-0.1859,-64.9090,-33.4813,107.6271,-106.9609,172.5361,-0.3743,-64.7446
57.877,-0.1904,-65.3293,-33.2773,107.1619,-106.7524,172.4912,-0.3834,-65.1598
58.225,-0.1950,-65.7525,-33.0734,106.6933,-106.5439,172.4459,-0.3927,-65.5778
58.576,-0.1997,-66.1788,-32.8695,106.2216,-106.3354,172.4004,-0.4022,-65.9987
58.928,-0.2045,-66.6080,-32.6658,105.7465,-106.1269,172.3545,-0.4120,-66.4223
59.283,-0.2094,-67.0403,-32.4622,105.2681,-105.9184,172.3085,-0.4219,-66.8489
59.640,-0.2144,-67.4757,-32.2588,104.7864,-105.7099,172.2621,-0.4322,-67.2783
59.999,-0.2195,-67.9141,-32.0554,104.3013,-105.5014,172.2154,-0.4426,-67.7106
60.360,-0.2248,-68.3557,-31.8522,103.8128,-105.2929,172.1685,-0.4534,-68.1458
60.723,-0.2302,-68.8003,-31.6490,103.3210,-105.0843,172.1213,-0.4644,-68.5839
61.089,-0.2357,-69.2482,-31.4461,102.8256,-104.8758,172.0738,-0.4756,-69.0250
61.457,-0.2414,-69.6992,-31.2432,102.3269,-104.6673,172.0260,-0.4872,-69.4691
61.827,-0.2471,-70.1534,-31.0405,101.8246,-104.4588,171.9779,-0.4990,-69.9161
62.199,-0.2531,-70.6108,-30.8379,101.3188,-104.2503,171.9296,-0.5111,-70.3661
62.573,-0.2591,-71.0714,-30.6355,100.8095,-104.0418,171.8809,-0.5234,-70.8192
62.950,-0.2653,-71.5354,-30.4332,100.2966,-103.8333,171.8320,-0.5361,-71.2752
63.329,-0.2717,-72.0026,-30.2310,99.7801,-103.6248,171.7827,-0.5491,-71.7343
63.710,-0.2782,-72.4732,-30.0290,99.2600,-103.4163,171.7332,-0.5624,-72.1965
64.093,-0.2848,-72.9470,-29.8271,98.7363,-103.2078,171.6833,-0.5761,-72.6618
64.479,-0.2916,-73.4243,-29.6255,98.2089,-102.9993,171.6332,-0.5900,-73.1301
64.867,-0.2986,-73.9050,-29.4239,97.6778,-102.7908,171.5827,-0.6043,-73.6015
65.258,-0.3057,-74.3890,-29.2225,97.1429,-102.5823,171.5320,-0.6190,-74.0761
65.650,-0.3130,-74.8765,-29.0213,96.6044,-102.3738,171.4809,-0.6340,-74.5538
66.046,-0.3205,-75.3675,-28.8203,96.0620,-102.1653,171.4295,-0.6493,-75.0346
